"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","398","","disappearing-elements.spec.ts","","disappearing-elements.spec.ts","","DisappearingElements Tests › The ""Gallery"" link shows and dissapears randomly",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","434","","challenging-dom.spec.ts","","challenging-dom.spec.ts","","Challenging Dom Tests › 3 buttons with names changing randomly are visible",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","134","","drag-and-drop.spec.ts","","drag-and-drop.spec.ts","","User should be able drag and drop card a to card b",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","442","","add-remove-elements.spec.ts","","add-remove-elements.spec.ts","","Add/Remove Elements Tests › User should be able to go to the ""Add/Remove Elements"" page",""
"passed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:49 GMT 2024","51","","forgot-password.spec.ts","","forgot-password.spec.ts","","The reset password message is sent after forgot password request",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","233","","geolocation.spec.ts","","geolocation.spec.ts","","Should access and show users geolocation",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","232","","dropdown.spec.ts","","dropdown.spec.ts","","Dropdown Tests › User is able to select dropdown options",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","138","","checkboxes.spec.ts","","checkboxes.spec.ts","","Checkboxes Tests › User should be able to check and uncheck checkboxes",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","391","","disappearing-elements.spec.ts","","disappearing-elements.spec.ts","","DisappearingElements Tests › User is redirected to ""Not found"" page after clicking ""About"" link",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","228","","file-uploader.spec.ts","","file-uploader.spec.ts","","Upload files Tests › User is able to upload file with ""Choose file"" button",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","138","","entry-ad.spec.ts","","entry-ad.spec.ts","","User should be able to close Ad modal",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","247","","disappearing-elements.spec.ts","","disappearing-elements.spec.ts","","DisappearingElements Tests › User is redirected to ""Not found"" page after clicking ""Contact us"" link",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","608","","floating-menu.spec.ts","","floating-menu.spec.ts","","After scrolling down the floating menu is still visible",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","238","","form-authentication.spec.ts","","form-authentication.spec.ts","","User should succefully login after providing proper username and password",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","138","","add-remove-elements.spec.ts","","add-remove-elements.spec.ts","","Add/Remove Elements Tests › User should be able to add and remove two elements",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","140","","challenging-dom.spec.ts","","challenging-dom.spec.ts","","Challenging Dom Tests › The table contains specific data",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","402","","broken-images.spec.ts","","broken-images.spec.ts","","Broken Images Tests › The github link and avatar images have proper source",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","238","","disappearing-elements.spec.ts","","disappearing-elements.spec.ts","","DisappearingElements Tests › User is redirected to ""Not found"" page after clicking ""Portfolio"" link",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","247","","add-remove-elements.spec.ts","","add-remove-elements.spec.ts","","Add/Remove Elements Tests › User should be able to add and remove one element",""
"failed","Fri Nov 08 13:35:49 GMT 2024","Fri Nov 08 13:35:50 GMT 2024","108","","form-authentication.spec.ts","","form-authentication.spec.ts","","Error message should be shown after providing invalid username",""
